tag_id,tag_name
1,bestseller
2,award-winner
3,page-turner
4,classic
5,debut-novel
6,adapted-to-film
7,adapted-to-series
8,book-club-pick
9,indie
10,translated
11,thai-author
12,international-author
13,feminist
14,lgbtq
15,diverse-voices
16,own-voices
17,banned-book
18,controversial
19,easy-read
20,challenging
21,short-read
22,long-read
23,series
24,standalone
25,anthology
26,illustrated
27,hardcover
28,ebook-only
29,audiobook-available
30,bilingual
31,self-published
32,crowdfunded
33,limited-edition
34,signed-edition
35,new-release
36,trending
37,staff-pick
38,reader-favorite
39,must-read
40,underrated
41,coming-of-age
42,family-saga
43,slow-burn
44,fast-paced
45,plot-twist
46,unreliable-narrator
47,multiple-pov
48,epistolary
49,metafiction
50,satire
51,dark-humor
52,feel-good
53,tearjerker
54,inspirational
55,educational
56,practical
57,reference
